,workspace_id,workspace_name,workspace_type,workspace_state,workspace_isOnDedicatedCapacity,report_id,report_name,reportCreatedDatetime,reportModifiedDatetime,reportUserCount,reportViewerCount,reportLatestAccess,app_report_id,app_report_name,appId,app_reportCreatedDatetime,app_reportModifiedDatetime,duplicate_match_flag,datasetId,datasetName,configuredBy,isRefreshable,createdDate,contentProviderType,refreshTimes,refreshDays,refreshEnabled,localTimeZoneId,latestRefreshDate,avgRefreshDuration
0,3be941d8-fb28-4603-979b-3795a778c77f,Grandiose,Workspace,Active,True,9CC53724-87A3-4FD0-937E-8A82F6096091,Dashboard Usage Metrics Report,,,,,,,Not Applicable,,,,1,6a25f78e-cb37-4c40-a631-100cefbc9b94,Dashboard Usage Metrics Model,b.joseph@gagroup.net,False,2017-07-31T09:01:14.087Z,UsageMetricsUserDashboard,,,,,,
1,3be941d8-fb28-4603-979b-3795a778c77f,Grandiose,Workspace,Active,True,A70207EA-4C6B-4EF5-8D7B-7A2A1EC12DA8,Report Usage Metrics Report,,,,,,,Not Applicable,,,,1,916afafc-4cb4-497c-961a-2b9259fd48f0,Report Usage Metrics Model,b.joseph@gagroup.net,False,2017-08-07T04:44:32.42Z,UsageMetricsUserReport,,,,,,
2,3be941d8-fb28-4603-979b-3795a778c77f,Grandiose,Workspace,Active,True,B220AE4D-AB3D-4E68-9C60-26449EA95646,Usage Metrics Report,2022-09-20T12:14:43.173Z,2022-09-20T12:14:43.173Z,,,,,Not Applicable,,,,1,4484265f-2264-4e92-8562-7ac0a80a9c1b,Usage Metrics Report,Prajwal.G@gagroup.net,True,2022-09-20T12:14:42.2Z,PbixInImportMode,14:27,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",False,UTC,2023-02-01 18:27:06.313000+04:00,0.7333333333333333
3,3be941d8-fb28-4603-979b-3795a778c77f,Grandiose,Workspace,Active,True,0B5FBBFC-8F31-4132-9A4E-39E3E5900DD8,Inventory Adjustment Reports_V1,2022-12-08T19:19:13.443Z,2023-12-27T08:27:00.137Z,1.0,2.0,2024-01-08 11:26:25+00:00,2225E7AC-6CA5-49AF-A047-4D0B25C81CFA,[App] Inventory Adjustment Reports_V1,4328a84b-79a4-4977-a9d7-70fdd5bb91c7,2023-02-15T06:21:41.053Z,2024-01-17T07:55:47.397Z,1,ae946410-2a59-414c-8798-723a59d18ec2,Inventory Adjustment Reports_V1,pooja.s@gagroup.net,True,2022-12-08T19:19:12.487Z,PbixInImportMode,06:00,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",True,Arabian Standard Time,2024-01-17 06:00:16.323000+04:00,6.6
4,3be941d8-fb28-4603-979b-3795a778c77f,Grandiose,Workspace,Active,True,5E793167-E51B-421D-98C5-7A63D005C349,Customer Analysis_V1,2022-12-08T19:21:37.47Z,2023-12-27T08:24:51.75Z,10.0,14.0,2023-12-20 05:04:57+00:00,048D6B53-1395-4536-9DD0-6DD19FCA309F,[App] Customer Analysis_V1,4328a84b-79a4-4977-a9d7-70fdd5bb91c7,2023-02-15T06:21:41.053Z,2024-01-17T07:55:47.397Z,1,ec1e4cf2-dde9-49c6-ba79-f2c0fd3a09bf,Customer Analysis_V1,pooja.s@gagroup.net,True,2022-12-08T19:21:36.677Z,PbixInImportMode,06:00,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",True,Arabian Standard Time,2024-01-17 06:00:15.927000+04:00,41.083333333333336
5,3be941d8-fb28-4603-979b-3795a778c77f,Grandiose,Workspace,Active,True,3EF40570-CF10-4C55-9BB5-106B62CAC4A1,Inventory Reports_V1,2022-12-08T19:22:50.087Z,2023-12-27T09:02:44.79Z,3.0,7.0,2023-12-20 05:11:10+00:00,5AF0E7C9-C7CB-4BCE-A326-C8F8A1AAAA46,[App] Inventory Reports_V1,4328a84b-79a4-4977-a9d7-70fdd5bb91c7,2023-02-15T06:21:41.053Z,2024-01-17T07:55:47.397Z,1,312d14a3-b783-4b32-8abe-def323f5d54f,Inventory Reports_V1,pooja.s@gagroup.net,True,2022-12-08T19:22:49.163Z,PbixInImportMode,06:00,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",True,Arabian Standard Time,2024-01-17 06:00:40.880000+04:00,30.75
6,3be941d8-fb28-4603-979b-3795a778c77f,Grandiose,Workspace,Active,True,AE4A035B-4EDD-405E-A68A-DA43C984E1CC,Purchase Reports_V1,2022-12-08T19:25:54.13Z,2023-12-27T09:03:52.133Z,28.0,80.0,2023-12-19 18:29:32+00:00,6B8DA91C-69AB-4978-BC44-56A7A8708E64,[App] Purchase Reports_V1,4328a84b-79a4-4977-a9d7-70fdd5bb91c7,2023-02-04T08:03:43.833Z,2024-01-17T07:55:47.397Z,1,e9bbb852-d115-4d65-a302-c43052989d59,Purchase Reports_V1,pooja.s@gagroup.net,True,2022-12-08T19:25:53.407Z,PbixInImportMode,06:00,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",True,Arabian Standard Time,2024-01-17 06:00:22.827000+04:00,3.9166666666666665
7,3be941d8-fb28-4603-979b-3795a778c77f,Grandiose,Workspace,Active,True,C47569E1-20A8-45CB-9B57-73F154136EF6,Sales Reports from Ledgers_v1,2022-12-08T19:30:46.43Z,2023-12-27T09:16:45.53Z,7.0,8.0,2023-12-20 05:11:53+00:00,8E435139-7B2D-4259-B0A4-59D0485AAF60,[App] Sales Reports from Ledgers_v1,4328a84b-79a4-4977-a9d7-70fdd5bb91c7,2023-02-15T06:21:41.053Z,2024-01-17T07:55:47.397Z,1,45b1f28d-ebf5-4a74-8149-36fa4fcb65ed,Sales Reports from Ledgers_v1,pooja.s@gagroup.net,True,2022-12-08T19:30:45.5Z,PbixInImportMode,06:00,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",True,Arabian Standard Time,2024-01-17 06:00:27.687000+04:00,25.3
8,3be941d8-fb28-4603-979b-3795a778c77f,Grandiose,Workspace,Active,True,C0ACE0E6-AC68-4482-897E-7BB21824956A,Sales Reports from POS Trans_V3,2023-01-18T13:02:15.73Z,2023-12-27T09:25:35.55Z,11.0,99.0,2023-12-19 14:32:01+00:00,2D7A5926-421E-483C-A42B-0DD44BF5786B,[App] Sales Reports from POS Trans_V3,4328a84b-79a4-4977-a9d7-70fdd5bb91c7,2023-02-15T06:21:41.053Z,2024-01-17T07:55:47.397Z,1,8770b7c4-9462-42ff-8f8f-1edd5a076ff1,Sales Reports from POS Trans_V3,pooja.s@gagroup.net,True,2023-01-18T13:02:14.507Z,PbixInImportMode,06:00,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",True,Arabian Standard Time,2024-01-17 06:00:21.793000+04:00,31.483333333333334
9,8dd061ff-43d1-4e7e-893d-4c8b9e4e5bb7,Olive Country Reports,Workspace,Active,False,A05ADED5-9A7E-4218-91B3-FC9121D3D656,Brand Sales Report,2021-01-20T04:57:09.04Z,2022-07-13T11:08:10.877Z,,,,,Not Applicable,,,,1,051c2701-3d54-418f-b186-8115b716848c,Brand Sales Report,balu.r@gagroup.net,True,2021-01-20T04:57:08.517Z,PbixInImportMode,08:30,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",True,Arabian Standard Time,2023-05-07 08:31:02.437000+04:00,4.0
10,8dd061ff-43d1-4e7e-893d-4c8b9e4e5bb7,Olive Country Reports,Workspace,Active,False,2A9A291E-D846-4B61-88B7-1A4BF1F32515,GL Entries,2021-01-20T05:07:51.29Z,2021-01-20T05:07:51.29Z,,,,,Not Applicable,,,,1,458ce5f8-01dd-4f80-bce5-35178f77f69a,GL Entries,balu.r@gagroup.net,True,2021-01-20T05:07:50.76Z,PbixInImportMode,08:30,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",False,Arabian Standard Time,2023-05-19 11:03:54.097000+04:00,4.983333333333333
